timestep,obs_comp_0,obs_det_rate_comp_0,action_comp_0,state_comp_0_state_0,belief_comp_0_state_0,state_comp_0_state_1,belief_comp_0_state_1,state_comp_0_state_2,belief_comp_0_state_2,state_comp_0_state_3,belief_comp_0_state_3,state_comp_0_state_4,belief_comp_0_state_4,obs_comp_1,obs_det_rate_comp_1,action_comp_1,state_comp_1_state_0,belief_comp_1_state_0,state_comp_1_state_1,belief_comp_1_state_1,state_comp_1_state_2,belief_comp_1_state_2,state_comp_1_state_3,belief_comp_1_state_3,state_comp_1_state_4,belief_comp_1_state_4,obs_comp_2,obs_det_rate_comp_2,action_comp_2,state_comp_2_state_0,belief_comp_2_state_0,state_comp_2_state_1,belief_comp_2_state_1,state_comp_2_state_2,belief_comp_2_state_2,state_comp_2_state_3,belief_comp_2_state_3,state_comp_2_state_4,belief_comp_2_state_4,obs_comp_3,obs_det_rate_comp_3,action_comp_3,state_comp_3_state_0,belief_comp_3_state_0,state_comp_3_state_1,belief_comp_3_state_1,state_comp_3_state_2,belief_comp_3_state_2,state_comp_3_state_3,belief_comp_3_state_3,state_comp_3_state_4,belief_comp_3_state_4,obs_comp_4,obs_det_rate_comp_4,action_comp_4,state_comp_4_state_0,belief_comp_4_state_0,state_comp_4_state_1,belief_comp_4_state_1,state_comp_4_state_2,belief_comp_4_state_2,state_comp_4_state_3,belief_comp_4_state_3,state_comp_4_state_4,belief_comp_4_state_4,obs_comp_5,obs_det_rate_comp_5,action_comp_5,state_comp_5_state_0,belief_comp_5_state_0,state_comp_5_state_1,belief_comp_5_state_1,state_comp_5_state_2,belief_comp_5_state_2,state_comp_5_state_3,belief_comp_5_state_3,state_comp_5_state_4,belief_comp_5_state_4,obs_comp_6,obs_det_rate_comp_6,action_comp_6,state_comp_6_state_0,belief_comp_6_state_0,state_comp_6_state_1,belief_comp_6_state_1,state_comp_6_state_2,belief_comp_6_state_2,state_comp_6_state_3,belief_comp_6_state_3,state_comp_6_state_4,belief_comp_6_state_4,obs_comp_7,obs_det_rate_comp_7,action_comp_7,state_comp_7_state_0,belief_comp_7_state_0,state_comp_7_state_1,belief_comp_7_state_1,state_comp_7_state_2,belief_comp_7_state_2,state_comp_7_state_3,belief_comp_7_state_3,state_comp_7_state_4,belief_comp_7_state_4,obs_comp_8,obs_det_rate_comp_8,action_comp_8,state_comp_8_state_0,belief_comp_8_state_0,state_comp_8_state_1,belief_comp_8_state_1,state_comp_8_state_2,belief_comp_8_state_2,state_comp_8_state_3,belief_comp_8_state_3,state_comp_8_state_4,belief_comp_8_state_4,obs_comp_9,obs_det_rate_comp_9,action_comp_9,state_comp_9_state_0,belief_comp_9_state_0,state_comp_9_state_1,belief_comp_9_state_1,state_comp_9_state_2,belief_comp_9_state_2,state_comp_9_state_3,belief_comp_9_state_3,state_comp_9_state_4,belief_comp_9_state_4,obs_comp_10,obs_det_rate_comp_10,action_comp_10,state_comp_10_state_0,belief_comp_10_state_0,state_comp_10_state_1,belief_comp_10_state_1,state_comp_10_state_2,belief_comp_10_state_2,state_comp_10_state_3,belief_comp_10_state_3,state_comp_10_state_4,belief_comp_10_state_4,obs_comp_11,obs_det_rate_comp_11,action_comp_11,state_comp_11_state_0,belief_comp_11_state_0,state_comp_11_state_1,belief_comp_11_state_1,state_comp_11_state_2,belief_comp_11_state_2,state_comp_11_state_3,belief_comp_11_state_3,state_comp_11_state_4,belief_comp_11_state_4,obs_comp_12,obs_det_rate_comp_12,action_comp_12,state_comp_12_state_0,belief_comp_12_state_0,state_comp_12_state_1,belief_comp_12_state_1,state_comp_12_state_2,belief_comp_12_state_2,state_comp_12_state_3,belief_comp_12_state_3,state_comp_12_state_4,belief_comp_12_state_4,global_action
0,4,4,0,0,0.2,0,0.2,0,0.2,1,0.2,0,0.2,4,4,0,0,0.2,0,0.2,0,0.2,1,0.2,0,0.2,4,4,0,0,0.2,0,0.2,1,0.2,0,0.2,0,0.2,4,4,0,0,0.2,0,0.2,0,0.2,1,0.2,0,0.2,4,4,0,0,0.2,0,0.2,1,0.2,0,0.2,0,0.2,4,4,0,0,0.2,0,0.2,1,0.2,0,0.2,0,0.2,4,4,0,0,0.2,0,0.2,0,0.2,1,0.2,0,0.2,4,4,0,0,0.2,0,0.2,1,0.2,0,0.2,0,0.2,4,4,0,0,0.2,0,0.2,0,0.2,1,0.2,0,0.2,4,4,0,0,0.2,0,0.2,1,0.2,0,0.2,0,0.2,4,4,0,0,0.2,0,0.2,0,0.2,1,0.2,0,0.2,4,4,0,0,0.2,0,0.2,1,0.2,0,0.2,0,0.2,4,4,0,0,0.2,0,0.2,1,0.2,0,0.2,0,0.2,0
1,4,1,1,0,0.0,0,0.0,1,0.4947358063563908,0,0.49714651185673525,0,0.008117681786873955,4,1,1,0,0.0,0,0.0,1,0.4947358063563908,0,0.49714651185673525,0,0.008117681786873955,0,1,1,0,0.6625328570465727,1,0.3374671429534273,0,0.0,0,0.0,0,0.0,4,1,1,0,0.0,0,0.0,1,0.4947358063563908,0,0.49714651185673525,0,0.008117681786873955,0,1,1,0,0.6625328570465727,1,0.3374671429534273,0,0.0,0,0.0,0,0.0,0,1,1,0,0.6625328570465727,1,0.3374671429534273,0,0.0,0,0.0,0,0.0,4,1,1,0,0.0,0,0.0,1,0.4947358063563908,0,0.49714651185673525,0,0.008117681786873955,0,1,1,0,0.6625328570465727,1,0.3374671429534273,0,0.0,0,0.0,0,0.0,4,1,1,0,0.0,0,0.0,1,0.4947358063563908,0,0.49714651185673525,0,0.008117681786873955,0,1,1,0,0.660657404269739,1,0.33934259573026093,0,0.0,0,0.0,0,0.0,0,1,2,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1,0,0.660657404269739,1,0.33934259573026093,0,0.0,0,0.0,0,0.0,0,1,1,0,0.6629417704476607,1,0.3370582295523393,0,0.0,0,0.0,0,0.0,0
2,0,2,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,2,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,2,1,1,0.9909048445078225,0,0.009095155492177551,0,0.0,0,0.0,0,0.0,0,2,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,2,0,0,0.6583934188684646,1,0.34160658113153536,0,0.0,0,0.0,0,0.0,0,2,0,0,0.6583934188684646,1,0.34160658113153536,0,0.0,0,0.0,0,0.0,0,2,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,2,0,0,0.6583934188684646,1,0.34160658113153536,0,0.0,0,0.0,0,0.0,0,2,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,2,1,1,0.9866154179969623,0,0.013384582003037722,0,0.0,0,0.0,0,0.0,0,2,1,1,0.9866154179969623,0,0.013384582003037722,0,0.0,0,0.0,0,0.0,0,2,1,1,0.9866154179969623,0,0.013384582003037722,0,0.0,0,0.0,0,0.0,0,2,0,0,0.6592102365698113,1,0.3407897634301888,0,0.0,0,0.0,0,0.0,0
3,0,3,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,3,1,1,0.9907823384748361,0,0.009217661525163868,0,0.0,0,0.0,0,0.0,0,3,0,1,0.9818479302344519,0,0.018152069765548024,0,0.0,0,0.0,0,0.0,0,3,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,3,0,0,0.6542494560387621,1,0.34575054396123794,0,0.0,0,0.0,0,0.0,0,3,0,0,0.6542494560387621,1,0.34575054396123794,0,0.0,0,0.0,0,0.0,0,3,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,3,0,0,0.6542494560387621,1,0.34575054396123794,0,0.0,0,0.0,0,0.0,0,3,1,1,0.9907823384748361,0,0.009217661525163868,0,0.0,0,0.0,0,0.0,0,3,0,1,0.9733582378032396,0,0.026641762196760437,0,0.0,0,0.0,0,0.0,0,3,0,1,0.9733582378032396,0,0.026641762196760437,0,0.0,0,0.0,0,0.0,0,3,0,1,0.9733582378032396,0,0.026641762196760437,0,0.0,0,0.0,0,0.0,0,3,1,1,0.9917347215711431,0,0.008265278428856925,0,0.0,0,0.0,0,0.0,0
4,0,4,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,4,0,1,0.9816072725285023,0,0.018392727471497682,0,0.0,0,0.0,0,0.0,0,4,0,1,0.9728315292950158,0,0.027168470704984234,0,0.0,0,0.0,0,0.0,0,4,1,1,0.9906598031931206,0,0.00934019680687939,0,0.0,0,0.0,0,0.0,0,4,0,0,0.6501020488015271,1,0.34989795119847295,0,0.0,0,0.0,0,0.0,0,4,0,0,0.6501020488015271,1,0.34989795119847295,0,0.0,0,0.0,0,0.0,0,4,1,1,0.9906598031931206,0,0.00934019680687939,0,0.0,0,0.0,0,0.0,0,4,0,0,0.6501020488015271,1,0.34989795119847295,0,0.0,0,0.0,0,0.0,0,4,0,1,0.9816072725285023,0,0.018392727471497682,0,0.0,0,0.0,0,0.0,0,4,0,1,0.9602321740951569,0,0.03976782590484309,0,0.0,0,0.0,0,0.0,0,4,0,1,0.9602321740951569,0,0.03976782590484309,0,0.0,0,0.0,0,0.0,0,4,0,1,0.9602321740951569,0,0.03976782590484309,0,0.0,0,0.0,0,0.0,0,4,0,1,0.9834980683955944,0,0.01650193160440563,0,0.0,0,0.0,0,0.0,0
5,0,5,1,1,0.9905372386521998,0,0.009462761347800221,0,0.0,0,0.0,0,0.0,0,5,0,1,0.9724769881842114,0,0.0275230118157886,0,0.0,0,0.0,0,0.0,0,5,0,1,0.9638578059083517,0,0.03614219409164838,0,0.0,0,0.0,0,0.0,0,5,0,1,0.9813666158043401,0,0.018633384195659793,0,0.0,0,0.0,0,0.0,0,5,0,0,0.645952253567654,1,0.35404774643234593,0,0.0,0,0.0,0,0.0,0,5,0,0,0.645952253567654,1,0.35404774643234593,0,0.0,0,0.0,0,0.0,0,5,0,1,0.9813666158043401,0,0.018633384195659793,0,0.0,0,0.0,0,0.0,0,5,0,0,0.645952253567654,1,0.35404774643234593,0,0.0,0,0.0,0,0.0,0,5,0,1,0.9724769881842114,0,0.0275230118157886,0,0.0,0,0.0,0,0.0,0,5,0,1,0.9472405848708184,0,0.0527594151291816,0,0.0,0,0.0,0,0.0,0,5,0,0,0.9472405848708184,1,0.0527594151291816,0,0.0,0,0.0,0,0.0,0,5,0,1,0.9472405848708184,0,0.0527594151291816,0,0.0,0,0.0,0,0.0,0,5,0,1,0.9752918882485594,0,0.02470811175144055,0,0.0,0,0.0,0,0.0,0
6,0,6,0,1,0.9811259600619596,0,0.01887403993804036,0,0.0,0,0.0,0,0.0,0,6,0,1,0.963393562492082,0,0.03660643750791803,0,0.0,0,0.0,0,0.0,0,6,0,1,0.9549288185120199,0,0.04507118148798006,0,0.0,0,0.0,0,0.0,0,6,0,1,0.9721225330750839,0,0.02787746692491608,0,0.0,0,0.0,0,0.0,0,6,0,0,0.6418011027784846,1,0.3581988972215155,0,0.0,0,0.0,0,0.0,0,6,0,0,0.6418011027784846,1,0.3581988972215155,0,0.0,0,0.0,0,0.0,0,6,0,1,0.9721225330750839,0,0.02787746692491608,0,0.0,0,0.0,0,0.0,0,6,0,0,0.6418011027784846,1,0.3581988972215155,0,0.0,0,0.0,0,0.0,0,6,0,1,0.963393562492082,0,0.03660643750791803,0,0.0,0,0.0,0,0.0,0,6,0,1,0.9343864869407067,0,0.06561351305929329,0,0.0,0,0.0,0,0.0,0,6,0,0,0.9343864869407067,1,0.06561351305929329,0,0.0,0,0.0,0,0.0,0,6,0,1,0.9343864869407067,0,0.06561351305929329,0,0.0,0,0.0,0,0.0,0,6,0,1,0.9671179520591288,0,0.03288204794087129,0,0.0,0,0.0,0,0.0,0
7,0,7,0,1,0.9717681639363448,0,0.02823183606365523,0,0.0,0,0.0,0,0.0,0,7,0,1,0.9543589658565832,0,0.04564103414341679,0,0.0,0,0.0,0,0.0,0,7,0,1,0.9460465219535302,0,0.0539534780464698,0,0.0,0,0.0,0,0.0,0,7,0,1,0.9629295404060713,0,0.03707045959392874,0,0.0,0,0.0,0,0.0,0,7,0,0,0.63764960480266,1,0.36235039519734,0,0.0,0,0.0,0,0.0,0,7,0,0,0.63764960480266,1,0.36235039519734,0,0.0,0,0.0,0,0.0,0,7,0,1,0.9629295404060713,0,0.03707045959392874,0,0.0,0,0.0,0,0.0,0,7,0,0,0.63764960480266,1,0.36235039519734,0,0.0,0,0.0,0,0.0,0,7,0,1,0.9543589658565832,0,0.04564103414341679,0,0.0,0,0.0,0,0.0,0,7,0,1,0.9216725713115906,0,0.07832742868840943,0,0.0,0,0.0,0,0.0,0,7,0,0,0.9216725713115906,1,0.07832742868840943,0,0.0,0,0.0,0,0.0,0,7,0,1,0.9216725713115906,0,0.07832742868840943,0,0.0,0,0.0,0,0.0,0,7,0,1,0.9589779551545763,0,0.04102204484542374,0,0.0,0,0.0,0,0.0,0
8,0,8,0,1,0.9624657394920768,0,0.037534260507923085,0,0.0,0,0.0,0,0.0,0,8,0,1,0.9453750644290652,0,0.05462493557093487,0,0.0,0,0.0,0,0.0,0,8,0,1,0.9372127697478374,0,0.06278723025216251,0,0.0,0,0.0,0,0.0,0,8,0,1,0.9537895158943236,0,0.046210484105676394,0,0.0,0,0.0,0,0.0,0,8,0,0,0.6334987438650074,1,0.3665012561349927,0,0.0,0,0.0,0,0.0,0,8,0,0,0.6334987438650074,1,0.3665012561349927,0,0.0,0,0.0,0,0.0,0,8,0,0,0.9537895158943236,1,0.046210484105676394,0,0.0,0,0.0,0,0.0,0,8,0,0,0.6334987438650074,1,0.3665012561349927,0,0.0,0,0.0,0,0.0,0,8,0,1,0.9453750644290652,0,0.05462493557093487,0,0.0,0,0.0,0,0.0,0,8,0,1,0.9091012184068561,0,0.09089878159314387,0,0.0,0,0.0,0,0.0,0,8,0,0,0.9091012184068561,1,0.09089878159314387,0,0.0,0,0.0,0,0.0,0,8,0,1,0.9091012184068561,0,0.09089878159314387,0,0.0,0,0.0,0,0.0,0,8,0,1,0.9508735185591243,0,0.04912648144087571,0,0.0,0,0.0,0,0.0,0
9,0,9,0,1,0.9532204681985402,0,0.04677953180145986,0,0.0,0,0.0,0,0.0,0,9,0,1,0.9364436225555632,0,0.06355637744443678,0,0.0,0,0.0,0,0.0,0,9,0,1,0.9284293163916354,0,0.07157068360836462,0,0.0,0,0.0,0,0.0,0,9,0,1,0.9447042329236331,0,0.055295767076366804,0,0.0,0,0.0,0,0.0,0,9,0,0,0.6293494800062405,1,0.3706505199937596,0,0.0,0,0.0,0,0.0,0,9,0,0,0.6293494800062405,1,0.3706505199937596,0,0.0,0,0.0,0,0.0,0,9,0,0,0.9447042329236331,1,0.055295767076366804,0,0.0,0,0.0,0,0.0,0,9,0,0,0.6293494800062405,1,0.3706505199937596,0,0.0,0,0.0,0,0.0,0,9,0,1,0.9364436225555632,0,0.06355637744443678,0,0.0,0,0.0,0,0.0,0,9,0,1,0.8966745130729761,0,0.10332548692702385,0,0.0,0,0.0,0,0.0,0,9,0,0,0.8966745130729761,1,0.10332548692702385,0,0.0,0,0.0,0,0.0,0,9,0,1,0.8966745130729761,0,0.10332548692702385,0,0.0,0,0.0,0,0.0,0,9,0,1,0.9428061903414823,0,0.057193809658517725,0,0.0,0,0.0,0,0.0,0
